rank_attention,rank_mlp,tasks,backend,workspace,save_dir,orig_model_params,comp_model_params,compression_ratio,baseline_inference_sec,compression_sec,compressed_inference_sec,total_sec,status,error_message
128,128,"wikitext,arc_easy",cola,/home/mercy/cloud/logs/examples/gemma3_svd_cola/rank128,/home/mercy/cloud/logs/examples/gemma3_svd_cola/rank128/compressed,268098176,200268416,0.7469965629307377,,31.33089397799995,,32.57083743199837,ok,
128,128,"wikitext,arc_easy",,/home/mercy/cloud/logs/examples/gemma3_svd_cola/rank128,,,,,,,,,error,Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx
128,128,"wikitext,arc_easy",cola,/home/mercy/cloud/logs/examples/gemma3_svd_cola/rank128,/home/mercy/cloud/logs/examples/gemma3_svd_cola/rank128/compressed,268098176,200268416,0.7469965629307377,32.132167782998295,60.2099372470002,"{""wikitext"": {""word_perplexity,none"": 55.654612340050456, ""byte_perplexity,none"": 2.1761736176878457, ""bits_per_byte,none"": 1.1217936610851782}, ""arc_easy"": {""acc,none"": 0.5, ""acc_stderr,none"": 0.5, ""acc_norm,none"": 0.5, ""acc_norm_stderr,none"": 0.5}}",93.81807598899832,ok,
